0.022256     	b'food'	-3.805162	0.000000
0.021846     	b'eat'	-3.823738	0.693147
0.013108     	b'eating'	-4.334564	1.098612
0.012288     	b'dinner'	-4.399102	1.386294
0.008329     	b'taste'	-4.788038	1.609438
0.006690     	b'breakfast'	-5.007092	1.791759
0.005188     	b'cook'	-5.261326	1.945910
0.004096     	b'meal'	-5.497715	2.079442
0.003960     	b'wanna'	-5.531616	2.197225
0.003277     	b'lunch'	-5.720858	2.302585
0.003004     	b'seen'	-5.807869	2.397895
0.002867     	b'delicious'	-5.854389	2.484907
0.002867     	b'rice'	-5.854389	2.564949
0.002731     	b'yes'	-5.903180	2.639057
0.002458     	b'order'	-6.008540	2.708050
0.002458     	b'better'	-6.008540	2.772589
0.002321     	b'concert'	-6.065699	2.833213
0.002321     	b'water'	-6.065699	2.890372
0.002321     	b'h'	-6.065699	2.944439
0.002321     	b'ass'	-6.065699	2.995732
0.002321     	b'jungkook'	-6.065699	3.044522
0.002185     	b'sound'	-6.126323	3.091042
0.002048     	b'own'	-6.190862	3.135494
0.002048     	b'im'	-6.190862	3.178054
0.001912     	b'asap'	-6.259855	3.218876
0.001912     	b'rocky'	-6.259855	3.258097
0.001912     	b'ordering'	-6.259855	3.295837
0.001912     	b'cars'	-6.259855	3.332205
0.001912     	b'later'	-6.259855	3.367296
0.001912     	b'que'	-6.259855	3.401197
0.001912     	b'border'	-6.259855	3.433987
0.001912     	b'chicken'	-6.259855	3.465736
0.001775     	b'while'	-6.333963	3.496508
0.001775     	b'leaving'	-6.333963	3.526361
0.001775     	b'met'	-6.333963	3.555348
0.001775     	b'big'	-6.333963	3.583519
0.001775     	b'together'	-6.333963	3.610918
0.001775     	b'g'	-6.333963	3.637586
0.001775     	b'happy'	-6.333963	3.663562
0.001638     	b'separate'	-6.414005	3.688879
0.001638     	b'talked'	-6.414005	3.713572
0.001638     	b'la'	-6.414005	3.737670
0.001638     	b'dog'	-6.414005	3.761200
0.001638     	b'morning'	-6.414005	3.784190
0.001638     	b'fast'	-6.414005	3.806662
0.001638     	b'its'	-6.414005	3.828641
0.001638     	b'having'	-6.414005	3.850148
0.001502     	b'drink'	-6.501017	3.871201
0.001502     	b'pussy'	-6.501017	3.891820
0.001502     	b'already'	-6.501017	3.912023
0.001502     	b'bitch'	-6.501017	3.931826
0.001502     	b'fried'	-6.501017	3.951244
0.001502     	b'night'	-6.501017	3.970292
0.001502     	b'sure'	-6.501017	3.988984
0.001502     	b'doesn'	-6.501017	4.007333
0.001365     	b'eats'	-6.596327	4.025352
0.001365     	b'laughing'	-6.596327	4.043051
0.001365     	b'malay'	-6.596327	4.060443
0.001365     	b'male'	-6.596327	4.077537
0.001365     	b'singers'	-6.596327	4.094345
0.001365     	b'obsessed'	-6.596327	4.110874
0.001365     	b'sunglasses'	-6.596327	4.127134
0.001365     	b'anyone'	-6.596327	4.143135
0.001365     	b'party'	-6.596327	4.158883
0.001365     	b'getting'	-6.596327	4.174387
0.001365     	b'says'	-6.596327	4.189655
0.001365     	b'free'	-6.596327	4.204693
0.001365     	b'kings'	-6.596327	4.219508
0.001365     	b'balls'	-6.596327	4.234107
0.001365     	b'forgot'	-6.596327	4.248495
0.001365     	b'spicy'	-6.596327	4.262680
0.001365     	b'reaction'	-6.596327	4.276666
0.001229     	b'yummy'	-6.701687	4.290459
0.001229     	b'version'	-6.701687	4.304065
0.001229     	b'chocolate'	-6.701687	4.317488
0.001229     	b'president'	-6.701687	4.330733
0.001229     	b'services'	-6.701687	4.343805
